KEY:  5
7 		[0, 4, 7]    		4.0 

7 		[0, 7]       		4.0 

7 		[0, 4, 7]    		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 4, 7]    		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 4, 7]    		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 4, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		3.0 

7 		[0, 4, 7]    		1.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 4, 7]    		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 4, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 4, 7]    		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7]    		4.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		2.0 

7 		[0, 3, 7]    		2.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 3, 7]    		2.0 

7 		[0, 4, 7]    		2.0 

0 		[0, 4, 7]    		4.0 

7 		[0, 4, 7]    		10.0

0 		[0, 4, 7]    		6.0 

7 		[0, 4, 7]    		8.0 

0 		[0, 4, 7]    		8.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7, 10]		4.0 

0 		[0, 4, 7]    		4.0 

5 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		2.0 

7 		[0, 3, 7]    		2.0 

0 		[0, 4, 7]    		8.0 

5 		[0, 4, 7]    		4.0 

7 		[0, 3, 7]    		4.0 

0 		[0, 4, 7]    		8.0 

5 		[0, 4, 7]    		4.0 

7 		[0, 3, 7, 10]		4.0 

0 		[0, 4, 7]    		8.0 

5 		[0, 4, 7]    		4.0 

10		[0, 4, 7]    		8.0 

7 		[0, 3, 7]    		2.0 

10		[0, 4, 7]    		4.0 

5 		[0, 4, 7]    		2.0 

7 		[0, 3, 7]    		4.0 
